Категория;Анекдот
Животные и насекомые;Держит ворона в клюве сыр, подлетает к ней дерзкий воробей и пытается клевать, то так попробует, то эдак.Ворона ему:- Мелкий, ты че оборзел?!- Да!- Ты че..орел что ли?- Да!- А чего такой маленький?!- Болел в детстве!
Охота и рыбалка     / Анекдоты про рыбу;"Рано утром в воскресенье, просыпается муж в 4 часа утра, друзья позвали на рыбалку. Оделся значит потеплее, все снасти взял, смотрит на улице - темного, льет мощный холодный дождь, ветер сдувает чуть ли не шифер с крыши...Стоит под козырьком курит, постоял, подумал - ""Да ну его нафиг, не пойду в такую погоду никуда, пойду спать!"".Домой вернулся, тихонечко раздело, тихонько к спящей жене под одеяло залез.- Брррр, ну и холодно же на улице!- Да не говори - соглашается жена, не поворачиваясь - а мой-то дурак на рыбалку с мужиками пошел."
Мужчины и женщины;Одной женщине исполнилось 50 лет, юбилей как никак, решила она потратить все подаренные и накопленные деньги на пластическую операцию, потратила безумные 300 тысяч рублей, по итогу смотрит в зеркало и диву дается - чувствует себя лет на 20 моложе. Посмотрела на себя в зеркало и пошла гулять по улице, проверить реакцию прохожих.Останавливается она у ларька с газетами, покупает, что ей нужно и спрашивает продавца:- Молодой человек, как думаете, сколько мне лет?- Ну, наверное около 33-х.- А вот и не угадали, мне ровно 50!Идет дальше довольная, заходит в аптеку, дальше происходит аналогичный разговор:- Девушка, как думаете, сколько мне лет?- Нуу, я думаю в районе 28-ми лет!- А вот и нет, мне 50!Идет дальше по улице счастливая, заходит в макдональдс, расчитывается, спрашивает у кассира тот же самый вопрос:- Молодой человек, как думаете, сколько мне лет?- Ну, вам наверное, 30!- А вот и нет, мне 50, но спасибо!Поняла женщина, что удалась операция, решила поехать домой, ждет на остановке свою маршрутку, а рядом сидит пожилой человек. Ну не пропадать же такой красоте даром, решила и у него спросить.- Дедушка, сколько мне лет?- Сударыня, мне уже 82 года, зрение уходит, но по молодости я разработал уникальный метод определения возраста, это конечно не так научно, но дает - 100% гарантию, могу ли я вас попросить дать мне сунуть руки под лифчик, тогда я точно могу сказать Ваш возраст.Женщина смутилась, но все же посмотрела по сторонам - никого нет, решила, а че уж - пусть проверит! Дедушка обеими руками давай её грудь нащупывать и после чего медленно и протяжно выдает:- Мадам, Вам ровно 50 лет!Женщина обалдела и растроилась одновременно, спрашивает его:- Это невозможно! Как же вы догадались? Может быть Вы экстрасенс?!- Да нет, я 5 минут назад за вами в очереди в Макдональдсе стоял.
Советские       / Анекдоты про Штирлица       / Анекдоты про Гитлера;В самом секретном бункере проходит совещание, неожиданно открывается дверь и заходит Штирлиц с целым подносом апельсинов, медленно подходит к сейфу, открывает его, забирает документы, ставит их на поднос и уходит.- Это что такое? Кто это? - кричит Гитлер.- А это русский разведчик Исаев - в голос кричат все присутствующие.- А что же вы его не арестуете и растреляете?!- Бесполезно, мой фюрер, он все равно выкрутится и скажет, что апельсины приносил.
Авто и ГИБДД        / Анекдоты про три желания;Скучает полицейский в машине и играется - взял резинку от трусов и мух на стекле бьет, одну убил, вторую, опытный уже. Тут одна муха ему и говорит:- Не убивай меня, пожалуйста, я тебе три желания исполню!Полицейский сперва опешил, растерялся, потом говорит ей:- Хочу дачу в Италии и большой джип!Тут же очутился наш герой в красивом и огромном коттедже на берегу Италии, смотрит во дворе стоит дорогущий мерседес. Муха смотрит на него и спрашивает - какой третье желание?- Дом у меня и машина есть, хочу чтобы никогда не работать и чтобы деньги были!В этот же момент вернулся полицейский назад в старый автомобиле и как раньше с резинкой от трусов в руках.
Медицина и здоровье;В один прекрасный ничем не примечательный день приезжает комиссия в дурдом, неожиданно к нем подбегает мальчик, комиссия решила сразу начать проверку и спрашивает мальчика:- Мальчик, а как тебя зовут?- нежняю...- Как это не знаешь, может быть ты знаешь кем хочешь стать, когда станешь взрослым?- Нежняю...Ну и дела, подумала комиссия, не порядок. Идут дальше, подбегает к ним девочка. Спрашивают её:- Девочка, как тебя зовут?- Нежняю..- А может знаешь кем ты хочешь стать?- Нежняю...Комиссия в шоке, приходят к главврачу, ругали его три часа, ставят задачу - чтобы через месяц все всё знали. Приезжают через месяц, спрашивают мальчика:- Как тебя зовут?- Вася!- А кем ты хочешь стать?- Космонавтом!Довольные идут дальше, на встречу девочка:- Девочка, как тебя зовут?- Аня!- А кем ты хочешь стать?- Космонавтом!Приходят к главврачу - молодец, как удалось добиться таких успехов?- Нежняю...
Вовочка          / Анекдоты про директора;Раннее утро, сын жалуется матери, говорит о том, что не хочет идти в школу:- Мама, я не хочу сегодня в школу, там плохо!- Ну сыночек, почему же?- Да ну эту школу, там Петров снова будет из рогатки стрелять, Сеничкин учебником по голове будет бить, Петрова подножки ставить и мешать мне целый день. Не хочу, не пойду!- Сыночек, Вовочка, ты должен идти в школу! К тому же тебе уже сорок лет, ну а самое главное - ты директор школы!
Пошлые анекдоты;Познакомился как-то летом студент (с) физического факультета с девушкой (д), пригласил ее на одно свидание, потому позвал на другое, уже месяц прошел, а близости у них так и нет, даже не целуются, ходят и обсуждают подруг, природу, учебу. Студент решил ей намекнуть, что пора бы уже переходить на следующий уровень отношений и говорит:С: Слушай, а ты знаешь, что такое вакуум?Д: Даже не слышала, расскажешь?С: Давай сразу начнем с примеров гипотетических - вот представь, что мы с тобой начали целоваться, я собственного губами воздух всасываю и ты делаешь тоже самое, так вот между нашими губами начинается образовываться пространство, в котором нет воздуха - и губы нельзя оторвать, это в науке и называется вакуум.Д: Тьфу ты, так бы сразу и сказал, у меня тоже пример есть - вчера один матрос е@бал, так когда он вытаскивал - мне в очко простынь всосало. Вот это был ВАКУУМ!
О жизни  / Анекдоты про соседей;Один мужик умирает и попадает на небеса, там его встрачает бог. У мужика соответственно только один вопрос - бог, подскажи, в чем суть моей жизни - а то прожил 80 лет, а так и не понял.Бог: Вы правда хотите это узнать?Мужик: Да, очень!Бог: А помните, как Вы ездили в сочи поездом в 1956 году?Мужик: Да, было дело, я еще тогда молодой был.Бог: А помните, как познакомились с попутчиками и вы решили пойти в вагон ресторан выпить?Мужик: Верно!Бог: Тогда вы, наверное, помните что за соседним столом от вас сидела красивая женщина..Мужик: ДА, ДА, в красном платье..Бог: И она попросила Вас передать перец...Мужик: Да, я так и сделал!Бог: И вы передали ей перец...Мужик: ПередалБог: Ну и вот...
Мужчины и женщины   / Анекдоты про три желания;Однажды поймала женщина золотую рыбку, золотая рыбка плачет и говорит ей - отпусти меня пожалуйста, а я исполню три твоих желания, но помни - только три, не больше, ни меньше. Женщина подумала, подумала отвечает ей - хорошо, рыбка, будь по твоему, три так три, записывай: - Хочу я значит квартирумашинудачу - это раз! Колечкошубуприческусапогиновые - это два! красивогомужикалюбимогодоброго - это три!
Бизнес и финансы;Если Вы не можете запомнить чем отличается кредит от депозита, то есть простое тому объяснение:Депозит - это когда у тебя вроде как есть деньги, но живешь будто их нет, а кредит - это когда у тебя вроде бы и денег нет, но живешь так будто у тебя их вагон.
Власть и политика;Единственное доказательство глобального потепления, которое существует это то, что из-за аномально теплой погоды в России распустилось правительство...И медведи разбежались.
Праздники и значимые даты;Два часа ночи. Бар. Из норки выглядывает немецкая мышь,оглядывается, кота нет, несётся к бару, хватает бокал пива, залпом выпивает, и назад в нору. Вылазит французская мышь. Оглядывается. Кота нет, и стрелой к бару, выпивает бокал вина, и махом назад в нору. Выглядывает русская мышь. Оглядывается. Кота нет, бежит к бару. Наливает себе 100 грамм водки, выпивает, оглядывается, кота нет. Наливает ещё 100 грамм, выпивает. Оглядывается. Нет кота. Пятая рюмка, злобно оглядывается, кота нет. Садится, закуривает и выдыхая дым, тихо и уверенно:-Ну ничего, блядь, мы подождём.С наступающим годом МЫШИ тебя!
Мужчины и женщины;Женщина жалуется своей подруге:— Муж совершенно перестал обращать на меня внимание.Подруга советует:— Попробуй его удивить. Надень на себя что-нибудь экстравагантное.Жена долго думала и решила надеть на себя противогаз. Приходит муж с работы, она открывает ему дверь, а он как ни в чем не бывало проходит на кухню. Жена начинает подавать ему ужин, ей жарко в противогазе и, отчаявшись, она его спрашивает:— Дорогой, ты не находишь во мне ничего необычного?— Ты что, брови, что ли, выщипала?
Армия;
Работа;Рабочий день 12 часов, из них вычитывают обычно обед. Вызывает недовольный начальник (н) подчиненного (п).Н: Вы почему пробыли в столовой один час?!П: Обедал, у еня же этот час вычитают, не оплачивают, в чем вопрос?Н: Вычитают, но это не значит, что вы можете целый час обедать, запомните, что незаменимых нет!П: Да, да, я знаю, Вы у меня не первый работодатель.
Вовочка;"Учительница спрашивает:— Дети! Расскажите, как вы помогали фронту?Настя:— Я высылала на фронт кисеты с табаком.Маша:— А я была медсестрой.Учительница:— Молодцы!Вовочка:— А я подносил солдатам снаряды.Учительница:— Вовочка! Ты же настоящий герой! Тебя поблагодарили?— О да!Мне сказали: ""Зер гут, Вольдемар!"""
Евреи / Анекдоты про раз;Жена готовит на кухне, а муж колет во дворе дрова. Вдруг раздается пушечный выстрел. Жена высовывается вокошко:— Абрам, почему стреляла пушка? Что, мясо привезли?— Да нет, это начальство из Москвы приехало.Через несколько минут снова выстрел.— Абрам, что, мясо привезли?— Я же сказал, начальство из Москвы приехало.— А что, в первый раз не попали?
О жизни;— Послушай, Зин! У нас такая маленькая квартира, а тут еще дядя Вася… Попросился переночевать одну ночь, а живет с нами второй год. Ты бы с ним поговорила…— А почему я?— Ну а кто же? Ведь твой же дядя?— Мой? А я-то все время думала, что твой…
Животные и насекомые;Американец, англичанин и русский хвалятся, что заставят кошку есть горчицу.Американец хватает кошку и запихивает ей горчицу в пасть.— Это насилие, — протестует русский.Англичанин кладет горчицу между двумя кусками колбасы и кошка ее съедает.— Это обман! — протестует русский, после чего мажет кошке под хвостом и кошка с воем вылизывает.— Обратите внимание, — говорит русский, — добровольно и с песней.
Армия;Война. Лыжный батальон в наступлении. Вечером привал. К командиру обращается солдат:— Товарищ майор, тут в двадцати километрах моя родная деревня. Три года не видел жену и детей.— А ты успеешь?— Я же на лыжах. Час туда, час обратно и час дома побуду.Отпустил командир солдата. Через три часа он вернулся довольный, счастливый. Окружили его все, спрашивают.— Ну как там дома?— Дома все хорошо. А вот кто отгадает, какие я первые два дела сделал дома, того угощаю самогоном и салом.Первое дело угадали сразу: понятно — жену столько не видел… А вот по поводу второго дела долго бились и никто отгадать не смог.Тогда солдат усмехнулся и сказал:— Что же вы, догадаться-то не смогли? Вторым делом я лыжи снял.
Старики и старухи;На печи спят дед и бабка. Деду не спится. Он будит бабку.— Бабка, ухи хочешь?— Хочу.— Так иди и налови рыбы.— Где же я ее зимой-то наловлю?— Ну тогда лежи и не вякай.
Мужчины и женщины;Сварливая жена была у мужика. Не успеет он порог переступить — она тут же начинает его ругать.Однажды приходит мужик домой, в спор не вступает, молча раздевается до пояса, поворачивается к жене и говорит: — Плюй!— Да ты что, сдурел?— Плюй, говорю!Жена плюнула.— Растирай!Жена растирает спину, приговаривая:— Да что с тобой? Что с тобой?— Ничего особенного, врач сказал змеиным ядом растираться.
Студенты;В трамвае сидит старушка и замечает стоящего рядом худого изможденного юношу. На его руке висит плащ.— Милый, откуда ты такой заморенный?— Студент я.— Наверное, отличник, раз такой замученный?— Да нет, я средне учусь.— Ну давай я хоть твой плащ подержу, все легче будет стоять.— Это не плащ, это, бабушка, студент Сидоров — вот он отличник.
Разные        / Анекдоты про телефон        / Анекдоты про директора;Телефонный звонок директору цирка:— Скажите, пожалуйста, Вам не нужна говорящая лошадь?Директор раздраженно бросает трубку. Снова звонок.— Скажите все-таки, Вам не нужна говорящая лошадь?— Перестаньте хулиганить!Снова звонок.— Слушай, идиот! Ты думаешь, мне легко набирать копытом номер?
Мужчины и женщины;Жена хочет поехать в отпуск, а муж её не отпускает - Нет, не отпущу! А она не успокаивается - Почему? Ведь все будет хорошо! Мужик - я боюсь, что ты мне будешь изменять! Жена - дорогой, любимый, любые условия, не буду тебе изменять! Мужик - хорошо, тогда я тебе на животе нарисую трактор, если трактор стереться по приезду с отпуска, то значит изменяешь. Жена согласилась, едет в отпуск довольная - веселиться в отпуске, гуляет, пьет везде, в одном из баров, глядит, а на нее местный смотрит, красивый как аполлон, ну в общем она с ним роман курортный и завела...Смотрит жена ближе к концу отпуска, а на животе трактор стерся весь. Она любовник об этом сказала, тот - Без проблем, сейчас пойдем к моему брату художнику, тот нарисует в лучшем виде!Приходят, тот рисует и спрашивает:- С трубы дым шел?- Вроде шел!Не вопрос, нарисовал.- А тракторист в кабине сидел?- Блин, не помню, вроде сиделНарисовал.Жена довольная, что обхитрила мужа, возвращается домой, звонит в дверь, муж открывает довольный, ведь жена приехала, давай у нее расспрашивать про отпуск. А жена - Прежде чем рассказывать, хочу тебе трактор твой показать и задирает футболку.Мужик смотрит на это все в легком шоке и говорит:- Как же тебя там драли, что аж трактор завели!
Мужчины и женщины;Мужик пришел с фингалом на работу, его коллеги его спрашивают - что случилось? У тебя проблемы какие? Мужик - Да не, гулял я тут по рынку на выходных, а впереди меня идет женщина толстая такая в платье, смотрю, а платье её попа заживала, ну я взял и оттянул - подправил, а она как развернется и даст мне слева...Проходит несколько дней, у мужика фингал исчез, но на 10 день он приходит на работу снова с фингалом, но уже под другим глазам. Коллеги - Вася, что произошло? Тебя дома бьют? Мужик - ДА все не так, шел я по торговому центру с другом, вижу идет женщина, которой я в тот раз платье поправлял, а у нее снова попа платье зажевало, другу неудобно стало - берет платье и оттягивает, а я взял, успел, платье назад засунул и сказал - Она так не любит!
Черный юмор / Анекдоты про секс;Девушка решила покончить жизнью, стоит у оврага и подходит бомж, говорит - Слушай, давай сексом займёмся, ты все равно покончить собой хочешь! Она - нет, отстань от меня! Бомж - ладно, внизу подожду!
Наука и учеба;Открылась новая школа, набрали новый персонал, 1 сентября, начинаются уроки, красивая молодая учительница приходит на урок и говорит ученикам:- Ребята, если вы будете хорошо себя вести, я завтра приду в мини-юбке.И все ведут себя хорошо.На следующий день учительница приходит в мини-юбке и говорит:- Если вы и сегодня будете хорошо себя вести, я завтра приду в бикини.Все опять ведут себя отлично.На следующий день учительница, как и обещала, приходит в бикини и говорит:- А если вы и сегодня будете хорошо себя вести, завтра я приду, прикрывшись одними листочками.Все ведут себя просто идеально, и учительница на следующий день сдерживает свое слово. После урока все выходят из класса, один только Вовочка остается сидеть. Учительница:- А ты чего ждешь, Вовочка?- Жду, когда настанет осень!
Разные;"Попали значит три друга в лес и потерялись, долго думали что делать и решили просто идти в одну сторону. Идут-идут и нашли их какие-то индейцы. Индейцы им говорят: ""Идите, и пусть каждый соберет по 10 плодов фруктов или ягод, кто не принесет за 30 минут, того мы съедим"". Друзья побежали врассыпную. Прошло несколько минут, как прибежал 1 друг с десятью яблоками. Индейцы же ему говорят: ""Теперь засунь себе это в зад, если не засунешь-съедим"". Он не смог. Его съели. Прошло еще время, как прибежал 2 друг с 10 сливами. Смог 9 засунуть, десятую никак не может, но внезапно начал плакать и смеяться. Индейцы спрашивают, почему он плачет? Он: ""Я не могу 10 засунуть, вы меня съедите""Хорошо, ответили индейцы, а почему ты смеешься?Он: ""Третий друг ананасы несет""."
Медицина и здоровье;Пациент приходит к хирургу.— Доктор, отрежьте мне, пожалуйста, член.— Да Вы что?— Доктор, я Вас очень прошу! Мне очень надо!— Ну надо, так надо.После операции хирург вновь обратился к пациенту:— Зачем Вы это сделали? Вы такой молодой, красивый мужчина, в полном расцвете сил. У Вас вся жизнь впереди, у Вас могло быть столько женщин. Скажите мне, зачем Вам это было нужно?— А понимаете, доктор, я женюсь на еврейке, так у них такой обычай.— Так, может, Вам надо было сделать обрезание?— А я Вам как сказал?
Авиация и транспорт     / Анекдоты про любовников     / Анекдоты про любовницу;"Одной авиакомпании требовался на работу опытный пилот. Приходит немец, его спрашивают:— Какой у Вас налет часов?— Пятнадцать тысяч часов.— Сколько Вы хотите получать?— Три тысячи долларов в месяц. Тысячу — себе, тысячу — жене, тысячу в банк.Приходит француз. Спрашивают его:— Какой у Вас налет часов?— Одиннадцать тысяч часов. Я хочу получать шесть тысяч в месяц. Две тысячи — себе, две — жене, две — любовнице.Приходит русский.— Какой у Вас налет часов?— Никакого налета нет. Я не летчик, пришел к вам подработать. Хочу девять тысяч; три — себе, три — вам, а три — немцу, пускай он летает."
Криминал;Идет симпозиум воров всего мира.Встает вор из Франции и просит погасить свет на 30 секунд. Через 30 секунд с того же места, на котором он стоял, говорит:— Господин в белом смокинге, на противоположной от меня трибуне, возьмите свою авторучку.После чего встал американец. История повторилась. После американца встал русский и сказал:— Свет тушить не надо. Вася, раздай всем носки.
Мультфильмы       / Анекдоты про Карлсона;Карлсон, который живет на крыше, напросился в гости к женщине.Она спрашивает:— А вдруг муж вернется?— А я в окно.— Так ведь пятнадцатый этаж!— Я ведь Карлсон, взял и улетел.Только расположились — загремел ключ в замке. Женщина схватила Карлсона и выбросила в окно.Входит муж:— Кто у нас был?— Никого не было.— А чьи на стуле штаны с пропеллером?
Анекдоты про телефон        / Мужчины и женщины;Лорд звонит ночью из клуба домой:— Джеймс?— Слушаю, сэр.— Как у нас дома?— Все в порядке, сэр.— А что делает моя жена?— Сэр, она в своей комнате лежит в постели с каким — мужчиной.— Джеймс, возьмите из ящика моего стола пистолет и убейте его. Я отвечаю.— Слушаюсь, сэр, я не кладу трубку.Лорд слышит шаги дворецкого, скрип двери, крики, топот ног, выстрел, а затем голос слуги:— Сэр, я выполнил Вашу просьбу. Он пытался бежать через зимний сад, но я догнал его и застрелил.— Джеймс, но ведь у нас в доме нет зимнего сада!— Простите, сэр, какой номер телефона Вы набирали?
Евреи;Приходит сын еврей к отцу:— Хочу жениться, батя!— Ну так женись.— Так ведь на Ольге!— Ну и что?— Она же слепая.— Так и хорошо. Ты придешь пьяный, она и не заметит.— Это верно…, но ведь она еще и глухая.— Ты просто не понимаешь своего счастья. Ругайся, сколько хочешь, она и не услышит.— Тоже верно. Но она к тому же немая.— Что может быть лучше молчаливой жены.— Батя, но Оля еще и горбатая.— Но ты, сына, нахал! Ты хочешь, чтобы совсем без недостатков!
Пошлые анекдоты;"В совхозе идет искусственное осеменение коров. Ветеринар со специальным шприцем и банкой спермы, не спеша, обходит стадо. Окончив процесс, он садится в свой ""Москвич"", а тронуться не может. Коровы плотным кольцом окружили машину. Он сигналит — никакой реакции. Тогда он опускает боковое стекло и кричит:— Эй, вы, пошли отсюда вон!И тут одна из коров с большими грустными глазами просовывает в окошко голову и печально произносит:— А поцеловать?"
Разные / Анекдоты про бармена;"Мужчина каждый вечер берет по две рюмки коньяка по 50 грамм. На вопрос бармена: ""Почему Вы не берете сразу 100 грамм?"" — он отвечает:— А у меня с другом уговор. Я пью за него и за себя.Однажды вечером мужчина попросил только 50 грамм.— С Вашим другом что-то случилось?— Нет. Я бросил пить."
Анекдоты про телефон  / Мужчины и женщины;"На Птичьем рынке мужчина продает комара в банке с надписью:""Заменитель мужчины — цена 50 рублей"".— А как им пользоваться? — спрашивает покупательница.— Разденьтесь, лягте и выпустите его из банки. Если что не так — вот телефон.Придя домой, женщина открыла банку, комар сел на потолок и сидит себе. Пришлось звонить по телефону. Мужик сразу приехал, разделся и говорит комару:— Смотри внимательно, показываю последний раз."
Авто и ГИБДД   / Анекдоты про водителей;"На обочине шоссе стоит человек с коровой и голосует. Останавливается ""Москвич"". Человек просит подвезти его до деревни.Водитель:— Ты что, дядя, спятил? Куда же я корову посажу?Человек:— Посади меня, а она за нами побежит.Водитель посадил путника, медленно поехал, а корова затрусила сзади. Прибавил водитель скорость, корова побежала быстрее.— Да дуй на всю железку, — требует человек.Машина пошла уже со скоростью 60 км в час. Корова бежит сзади, не отставая. Водитель вглядывается в зеркало заднего вида и кричит хозяину:— Послушайте, я быстрее не могу, с коровой сейчас будет плохо, она как-то странно мигает левым глазом.Хозяин коровы (спокойно):— На обгон пошла."
Анекдоты про остров    / О жизни    / Анекдоты про соседей;"Ночью затонул пароход. На маленький островок выплыли четверо мужчин: двадцатилетний, тридцатипятилетний, пятидесятилетний и семидесятилетний. Когда они утром проснулись, то увидели, что на соседнем островке нашли пристанище четыре молодые женщины.Двадцатилетний с криком: ""Девчонки, я к вам!"" — прыгнул в воду и поплыл.Тридцатипятилетний, попробовав воду ногой, сказал:— Вода холодная, давайте соорудим какой — нибудь плот.Пятидесятилетний раздумчиво заметил:— Ну, зачем что-то сооружать, переплывать? Подождем, когда они сами к нам приплывут.А семидесятилетний сказал:— А зачем им сюда плыть? У меня есть бинокль."
Разные;Соревнование по плаванию среди инвалидов: кто без руки, кто без ноги, а на последней дорожке — одна голова,Дали старт. Все поплыли, а голова пошла ко дну. Вытащили ее, откачали. Голова открыла глаза и говорит:— Я пять лет училась ушами грести, а мне эти козлы перед самым стартом резиновую шапочку натянули.
Армия;"Занятие по сборке и разборке оружия.Старшина:— Вопросы есть?— Есть, товарищ старшина. Почему винтовку можно собрать, разобрать а человека нельзя?— Вопрос понял, отвечаю. Вот представь себе, Пилипенко. Ты себя развинтил, спать лег, а тут боевая тревога. Ты второпях все свинтил, а на место головы приставил задницу. И что получается: пилотка не налазит, гимнастерка не застегивается, все кричат ""ура"", а ты?"
Животные и насекомые;Волк был страшным алкоголиком, а Заяц трезвенником. Встречает Волк Зайца, а тот едет на велосипеде.Волк спрашивает:— Откуда это?— Ты пил, а я не пил, вот и купил.В следующий раз Волк встречает Зайца на машине.Волк спрашивает:— Откуда это?— Ты пил, а я не пил, вот и купил.Через неделю идет Заяц, а навстречу ему летит Волк на вертолете.Заяц удивился и спрашивает:— Откуда это?— Бутылки сдал.
Работа        / Анекдоты про зарплату;"Женщину сократили на работе, грустная идет и видит объявление - ""Вакансия массажистки, дружный коллектив, возможность предоставления жилья, зарплата от 35 тысяч!"" Не поверила своим глазам, звонит по номеру:- Здравствуйте, я по поводу вакансии массажиста.- Да, я вас слушаю!- У меня высшее с отличием, сертификат медицинс..- Вы нам не подходите!- Стаж рабо..- Нет!- Но у меня есть знание английс...- Нет, мы же сказали!- Но почему?!- Такая образованная и такая тупая, это бордель!"
Бизнес и финансы;Идет бизнес-тренинг, ведущий:- Никогда не говорите слово ПРОБЛЕМА, говорите слово ЗАДАЧА!Ну теперь-то стало все на своим места, теперь можно не беспокоиться.Оказывается, алкоголь - это не моя проблема, а моя задача!
Власть и политика;Мужик (М) идет по улице, а на встречу ему Росгвардия (Р):Р: Гражданин! Иди сюда!М: А Вы кто?Р: Я, сотрудник Росгвардии!М: Представьте, пожалуйста, покажите документы!Р: Я не обязан предоставлять и показывать документы!М: Тогда я тоже сотрудник Росгвардии!Р: Покажите документы!М: Я не обязан!
Мужчины и женщины;"На корпоративе, все уже выпившие, сидят 20 летние девушки с достаточно скорбным видом:- Я в отношениях разочаровалась в 13 лет, один человек тогда мне причинил столько боли, что хотелось закрыть глаза и больше никогда их не открывать...Рядом её подруга такого же возраста:- И у меня было подобное в таком возрасте. После этого я не смогла никому доверять и до самого выпускного не подпускала к себе парней, потому что страх предательства заставлял закрываться от всех...Я: - А я в 13 лет натирал руки об флисовый плед, чтобы ударить младшего брата в ухо статическим электричеством с криком ""Пика-Пика, нах#й!"""
Кино и ТВ;- Кольцо на тебя плохо влияет! Оно сжирает тебя изнутри!- Да не могу я с вами на шашлыки, к Танюхиной мамке идем.
